run_id,task_id,program,tier,format_level,arm,repeat,produced_nonempty,self_consistent,n_tool_calls,n_parsers_tried,n_bash,n_turns,cost_usd,n_tool_errors,n_wrong_parser,n_extractable,n_correct,recall,precision,n_extra_unverified,success
CASTEP__zs4_TvFw__NONE__0,CASTEP__zs4_TvFw,CASTEP,hard,L2,NONE,0,1,1,2,0,1,5,0.19798675000000002,0,0,0,0,0.0,0.0,10,0
CP2K__ycOSC5qa__BARE__0,CP2K__ycOSC5qa,CP2K,hard,L2,BARE,0,1,1,8,2,3,15,0.24156299999999997,3,3,0,0,0.0,0.0,10,0
CP2K__ycOSC5qa__COMPLEXITY__0,CP2K__ycOSC5qa,CP2K,hard,L2,COMPLEXITY,0,1,1,6,0,3,12,0.47564675,0,0,0,0,0.0,0.0,10,0
CP2K__ycOSC5qa__DOCS__0,CP2K__ycOSC5qa,CP2K,hard,L2,DOCS,0,1,1,12,2,3,21,0.36694899999999997,3,2,0,0,0.0,0.0,10,0
CP2K__ycOSC5qa__FULL__0,CP2K__ycOSC5qa,CP2K,hard,L2,FULL,0,1,1,8,2,3,14,0.291598,2,2,0,0,0.0,0.0,10,0
CP2K__ycOSC5qa__NONE__0,CP2K__ycOSC5qa,CP2K,hard,L2,NONE,0,1,1,4,0,4,8,0.17510375,0,0,0,0,0.0,0.0,10,0
Crystal__tC7Wyj5f__BARE__0,Crystal__tC7Wyj5f,Crystal,hard,L2,BARE,0,1,1,16,3,9,31,0.71061025,3,4,0,0,0.0,0.0,10,0
Crystal__tC7Wyj5f__COMPLEXITY__0,Crystal__tC7Wyj5f,Crystal,hard,L2,COMPLEXITY,0,1,1,13,0,11,28,0.8639687500000001,0,0,0,0,0.0,0.0,10,0
Crystal__tC7Wyj5f__DOCS__0,Crystal__tC7Wyj5f,Crystal,hard,L2,DOCS,0,1,1,13,4,4,25,0.59735875,2,4,0,0,0.0,0.0,9,0
Crystal__tC7Wyj5f__FULL__0,Crystal__tC7Wyj5f,Crystal,hard,L2,FULL,0,1,1,15,4,9,34,0.8848575000000001,2,4,0,0,0.0,0.0,10,0
Crystal__tC7Wyj5f__NONE__0,Crystal__tC7Wyj5f,Crystal,hard,L2,NONE,0,1,1,9,0,8,20,0.45585625,0,0,0,0,0.0,0.0,9,0
FHI-aims__NcjV1wLu__BARE__0,FHI-aims__NcjV1wLu,FHI-aims,easy,L2,BARE,0,1,1,6,2,3,14,0.5373985,3,1,6,6,1.0,1.0,3,1
FHI-aims__NcjV1wLu__COMPLEXITY__0,FHI-aims__NcjV1wLu,FHI-aims,easy,L2,COMPLEXITY,0,1,1,9,1,6,17,0.630824,1,0,6,6,1.0,1.0,3,1
FHI-aims__NcjV1wLu__DOCS__0,FHI-aims__NcjV1wLu,FHI-aims,easy,L2,DOCS,0,1,1,7,2,4,16,0.605073,2,1,6,6,1.0,1.0,3,1
FHI-aims__NcjV1wLu__FULL__0,FHI-aims__NcjV1wLu,FHI-aims,easy,L2,FULL,0,1,1,8,2,4,19,0.6549205,2,1,6,6,1.0,1.0,3,1
FHI-aims__NcjV1wLu__NONE__0,FHI-aims__NcjV1wLu,FHI-aims,easy,L2,NONE,0,1,1,9,0,9,22,0.4274314999999999,2,0,6,6,1.0,1.0,3,1
FHI-aims__SMaGnwZk__BARE__0,FHI-aims__SMaGnwZk,FHI-aims,easy,L2,BARE,0,1,1,7,2,4,13,0.43194524999999995,2,1,6,6,1.0,1.0,3,1
FHI-aims__SMaGnwZk__COMPLEXITY__0,FHI-aims__SMaGnwZk,FHI-aims,easy,L2,COMPLEXITY,0,1,1,8,2,5,18,0.54201475,3,1,6,6,1.0,1.0,2,1
FHI-aims__SMaGnwZk__DOCS__0,FHI-aims__SMaGnwZk,FHI-aims,easy,L2,DOCS,0,1,1,8,3,3,15,0.4540355,3,2,6,6,1.0,1.0,3,1
FHI-aims__SMaGnwZk__FULL__0,FHI-aims__SMaGnwZk,FHI-aims,easy,L2,FULL,0,1,1,6,2,3,12,0.4297775,2,1,6,6,1.0,1.0,3,1
FHI-aims__SMaGnwZk__NONE__0,FHI-aims__SMaGnwZk,FHI-aims,easy,L2,NONE,0,1,1,11,0,11,20,0.45673600000000003,2,0,6,6,1.0,1.0,3,1
FHI-aims__mbJdWz98__BARE__0,FHI-aims__mbJdWz98,FHI-aims,easy,L2,BARE,0,1,1,9,2,5,17,0.44962375,5,2,6,6,1.0,1.0,3,1
FHI-aims__mbJdWz98__COMPLEXITY__0,FHI-aims__mbJdWz98,FHI-aims,easy,L2,COMPLEXITY,0,1,1,11,1,7,23,0.6453757499999999,0,0,6,6,1.0,1.0,3,1
FHI-aims__mbJdWz98__DOCS__0,FHI-aims__mbJdWz98,FHI-aims,easy,L2,DOCS,0,1,1,10,2,6,20,0.5498387499999999,3,1,6,6,1.0,1.0,3,1
FHI-aims__mbJdWz98__FULL__0,FHI-aims__mbJdWz98,FHI-aims,easy,L2,FULL,0,1,1,9,2,6,18,0.69412475,2,1,6,6,1.0,1.0,3,1
FHI-aims__mbJdWz98__NONE__0,FHI-aims__mbJdWz98,FHI-aims,easy,L2,NONE,0,1,1,10,0,10,21,0.41989499999999996,2,0,6,6,1.0,1.0,3,1
FHI-aims__vB3fq6XR__BARE__0,FHI-aims__vB3fq6XR,FHI-aims,easy,L2,BARE,0,1,1,10,2,6,21,0.30952825,2,1,6,6,1.0,1.0,3,1
FHI-aims__vB3fq6XR__COMPLEXITY__0,FHI-aims__vB3fq6XR,FHI-aims,easy,L2,COMPLEXITY,0,1,1,7,0,6,16,0.37088425,2,0,6,6,1.0,1.0,3,1
FHI-aims__vB3fq6XR__DOCS__0,FHI-aims__vB3fq6XR,FHI-aims,easy,L2,DOCS,0,1,1,7,1,4,14,0.270879,1,0,6,6,1.0,1.0,3,1
FHI-aims__vB3fq6XR__FULL__0,FHI-aims__vB3fq6XR,FHI-aims,easy,L2,FULL,0,1,1,10,3,5,20,0.319565,2,2,6,6,1.0,1.0,3,1
FHI-aims__vB3fq6XR__NONE__0,FHI-aims__vB3fq6XR,FHI-aims,easy,L2,NONE,0,1,1,7,0,7,14,0.28410399999999997,1,0,6,6,1.0,1.0,2,1
GAMESS__fr50Zj7V__NONE__0,GAMESS__fr50Zj7V,GAMESS,easy,L2,NONE,0,1,1,3,0,3,8,0.18262,1,0,10,10,1.0,1.0,0,1
GAMESS__ir_SAeHw__NONE__0,GAMESS__ir_SAeHw,GAMESS,easy,L2,NONE,0,1,1,8,0,8,15,0.29791375,0,0,10,10,1.0,1.0,0,1
GAMESS__lZL2bLfP__NONE__0,GAMESS__lZL2bLfP,GAMESS,easy,L2,NONE,0,1,1,5,0,4,12,0.245599,0,0,10,10,1.0,1.0,0,1
GPAW__OmD7TXGK__BARE__0,GPAW__OmD7TXGK,GPAW,easy,L2,BARE,0,1,1,5,2,1,11,0.182487,0,1,6,6,1.0,1.0,1,1
GPAW__OmD7TXGK__COMPLEXITY__0,GPAW__OmD7TXGK,GPAW,easy,L2,COMPLEXITY,0,1,1,5,1,1,10,0.3002235,0,0,6,6,1.0,1.0,0,1
GPAW__OmD7TXGK__DOCS__0,GPAW__OmD7TXGK,GPAW,easy,L2,DOCS,0,1,1,3,1,0,7,0.15423800000000001,0,0,6,6,1.0,1.0,0,1
GPAW__OmD7TXGK__FULL__0,GPAW__OmD7TXGK,GPAW,easy,L2,FULL,0,1,1,5,2,0,11,0.213341,0,1,6,6,1.0,1.0,0,1
GPAW__OmD7TXGK__NONE__0,GPAW__OmD7TXGK,GPAW,easy,L2,NONE,0,1,1,6,0,6,17,0.30198700000000006,1,0,6,6,1.0,1.0,4,1
GPAW__ebTSTiuP__BARE__0,GPAW__ebTSTiuP,GPAW,easy,L2,BARE,0,1,1,4,2,0,11,0.19676125,0,1,6,6,1.0,1.0,2,1
GPAW__ebTSTiuP__COMPLEXITY__0,GPAW__ebTSTiuP,GPAW,easy,L2,COMPLEXITY,0,1,1,3,1,0,7,0.1582715,0,0,6,6,1.0,1.0,0,1
GPAW__ebTSTiuP__DOCS__0,GPAW__ebTSTiuP,GPAW,easy,L2,DOCS,0,1,1,3,1,0,8,0.158792,0,0,6,6,1.0,1.0,0,1
GPAW__ebTSTiuP__FULL__0,GPAW__ebTSTiuP,GPAW,easy,L2,FULL,0,1,1,3,1,0,9,0.1710095,0,0,6,6,1.0,1.0,0,1
GPAW__ebTSTiuP__NONE__0,GPAW__ebTSTiuP,GPAW,easy,L2,NONE,0,1,1,8,0,8,15,0.29307975,1,0,6,6,1.0,1.0,4,1
GPAW__kBTQasoI__NONE__0,GPAW__kBTQasoI,GPAW,easy,L2,NONE,0,1,1,9,0,9,24,0.42763150000000005,1,0,6,6,1.0,1.0,3,1
Gaussian__N5IbCCIs__BARE__0,Gaussian__N5IbCCIs,Gaussian,easy,L2,BARE,0,1,1,4,2,0,9,0.2054785,0,0,15,15,1.0,1.0,0,1
Gaussian__N5IbCCIs__COMPLEXITY__0,Gaussian__N5IbCCIs,Gaussian,easy,L2,COMPLEXITY,0,1,1,3,2,0,8,0.2811015,0,0,15,15,1.0,1.0,0,1
Gaussian__N5IbCCIs__DOCS__0,Gaussian__N5IbCCIs,Gaussian,easy,L2,DOCS,0,1,1,4,2,0,9,0.20438,0,0,15,15,1.0,1.0,0,1
Gaussian__N5IbCCIs__FULL__0,Gaussian__N5IbCCIs,Gaussian,easy,L2,FULL,0,1,1,4,2,0,8,0.21129150000000002,0,0,15,15,1.0,1.0,0,1
Gaussian__N5IbCCIs__NONE__0,Gaussian__N5IbCCIs,Gaussian,easy,L2,NONE,0,1,1,5,0,2,10,0.517042,1,0,15,13,0.8666666666666667,0.8666666666666667,0,0
Gaussian__TRpxYNCX__BARE__0,Gaussian__TRpxYNCX,Gaussian,easy,L2,BARE,0,1,1,4,2,0,10,0.39984475,0,0,15,15,1.0,1.0,0,1
Gaussian__TRpxYNCX__COMPLEXITY__0,Gaussian__TRpxYNCX,Gaussian,easy,L2,COMPLEXITY,0,1,1,5,2,0,10,0.4445324999999999,0,0,15,15,1.0,1.0,0,1
Gaussian__TRpxYNCX__DOCS__0,Gaussian__TRpxYNCX,Gaussian,easy,L2,DOCS,0,1,1,4,2,0,9,0.41105375,0,0,15,15,1.0,1.0,0,1
Gaussian__TRpxYNCX__FULL__0,Gaussian__TRpxYNCX,Gaussian,easy,L2,FULL,0,1,1,4,2,0,9,0.41162,0,0,15,15,1.0,1.0,0,1
Gaussian__TRpxYNCX__NONE__0,Gaussian__TRpxYNCX,Gaussian,easy,L2,NONE,0,1,1,5,0,2,10,0.50186025,0,0,15,14,0.9333333333333333,0.9333333333333333,0,1
Gaussian__mmBkEUCv__BARE__0,Gaussian__mmBkEUCv,Gaussian,easy,L2,BARE,0,1,1,5,2,1,12,0.2741875,1,0,15,15,1.0,1.0,0,1
Gaussian__mmBkEUCv__COMPLEXITY__0,Gaussian__mmBkEUCv,Gaussian,easy,L2,COMPLEXITY,0,1,1,6,2,2,13,0.36198025,1,0,15,15,1.0,1.0,0,1
Gaussian__mmBkEUCv__DOCS__0,Gaussian__mmBkEUCv,Gaussian,easy,L2,DOCS,0,1,1,6,2,1,13,0.31799025000000003,1,0,15,15,1.0,1.0,0,1
Gaussian__mmBkEUCv__FULL__0,Gaussian__mmBkEUCv,Gaussian,easy,L2,FULL,0,1,1,5,2,1,12,0.29521625,1,0,15,15,1.0,1.0,0,1
Gaussian__mmBkEUCv__NONE__0,Gaussian__mmBkEUCv,Gaussian,easy,L2,NONE,0,1,1,5,0,4,12,0.220596,0,0,15,14,0.9333333333333333,0.9333333333333333,0,1
Gaussian__t1ZAa57J__BARE__0,Gaussian__t1ZAa57J,Gaussian,easy,L2,BARE,0,1,1,5,2,1,12,0.27184149999999996,1,0,15,15,1.0,1.0,0,1
Gaussian__t1ZAa57J__COMPLEXITY__0,Gaussian__t1ZAa57J,Gaussian,easy,L2,COMPLEXITY,0,1,1,6,2,3,12,0.31611725,1,0,15,15,1.0,1.0,0,1
Gaussian__t1ZAa57J__DOCS__0,Gaussian__t1ZAa57J,Gaussian,easy,L2,DOCS,0,1,1,5,2,1,11,0.29493274999999997,1,0,15,15,1.0,1.0,0,1
Gaussian__t1ZAa57J__FULL__0,Gaussian__t1ZAa57J,Gaussian,easy,L2,FULL,0,1,1,6,2,2,13,0.33040725000000004,1,0,15,15,1.0,1.0,0,1
Gaussian__t1ZAa57J__NONE__0,Gaussian__t1ZAa57J,Gaussian,easy,L2,NONE,0,1,1,5,0,4,11,0.25493725,0,0,15,14,0.9333333333333333,0.9333333333333333,0,1
LAMMPS__5ENjXmFF__BARE__0,LAMMPS__5ENjXmFF,LAMMPS,hard,L2,BARE,0,1,0,5,2,0,11,0.1520425,2,2,0,0,0.0,0.0,1,0
LAMMPS__5ENjXmFF__COMPLEXITY__0,LAMMPS__5ENjXmFF,LAMMPS,hard,L2,COMPLEXITY,0,1,0,2,0,2,6,0.1205135,0,0,0,0,0.0,0.0,1,0
LAMMPS__5ENjXmFF__DOCS__0,LAMMPS__5ENjXmFF,LAMMPS,hard,L2,DOCS,0,1,0,4,1,1,10,0.159147,1,1,0,0,0.0,0.0,1,0
LAMMPS__5ENjXmFF__FULL__0,LAMMPS__5ENjXmFF,LAMMPS,hard,L2,FULL,0,1,0,6,2,0,11,0.1986835,2,2,0,0,0.0,0.0,1,0
LAMMPS__5ENjXmFF__NONE__0,LAMMPS__5ENjXmFF,LAMMPS,hard,L2,NONE,0,1,0,3,0,2,9,0.11815975000000001,0,0,0,0,0.0,0.0,1,0
NWChem__yL5fT-q___BARE__0,NWChem__yL5fT-q_,NWChem,hard,L2,BARE,0,1,1,7,1,5,18,0.27725900000000003,2,4,0,0,0.0,0.0,9,0
NWChem__yL5fT-q___COMPLEXITY__0,NWChem__yL5fT-q_,NWChem,hard,L2,COMPLEXITY,0,1,1,8,1,4,17,0.363855,1,1,0,0,0.0,0.0,9,0
NWChem__yL5fT-q___DOCS__0,NWChem__yL5fT-q_,NWChem,hard,L2,DOCS,0,1,1,8,1,6,20,0.332792,2,3,0,0,0.0,0.0,9,0
NWChem__yL5fT-q___FULL__0,NWChem__yL5fT-q_,NWChem,hard,L2,FULL,0,1,1,7,2,4,15,0.2942855,2,4,0,0,0.0,0.0,9,0
NWChem__yL5fT-q___NONE__0,NWChem__yL5fT-q_,NWChem,hard,L2,NONE,0,1,1,7,0,6,14,0.244865,0,0,0,0,0.0,0.0,9,0
NWChem__yaQiW-Lj__BARE__0,NWChem__yaQiW-Lj,NWChem,easy,L2,BARE,0,1,1,6,1,3,14,0.26031974999999996,0,0,9,9,1.0,1.0,0,1
NWChem__yaQiW-Lj__COMPLEXITY__0,NWChem__yaQiW-Lj,NWChem,easy,L2,COMPLEXITY,0,1,1,9,1,5,16,0.47267775,0,0,9,9,1.0,1.0,0,1
NWChem__yaQiW-Lj__DOCS__0,NWChem__yaQiW-Lj,NWChem,easy,L2,DOCS,0,1,1,5,1,2,13,0.22002424999999998,0,0,9,9,1.0,1.0,0,1
NWChem__yaQiW-Lj__FULL__0,NWChem__yaQiW-Lj,NWChem,easy,L2,FULL,0,1,1,4,1,1,11,0.21610124999999997,0,0,9,9,1.0,1.0,0,1
NWChem__yaQiW-Lj__NONE__0,NWChem__yaQiW-Lj,NWChem,easy,L2,NONE,0,1,1,4,0,3,10,0.31340925000000003,0,0,9,9,1.0,1.0,0,1
ONETEP__SHh1xr_l__BARE__0,ONETEP__SHh1xr_l,ONETEP,hard,L2,BARE,0,1,0,11,2,7,21,0.4084715,2,2,0,0,0.0,0.0,8,0
ONETEP__SHh1xr_l__COMPLEXITY__0,ONETEP__SHh1xr_l,ONETEP,hard,L2,COMPLEXITY,0,1,0,2,0,0,6,0.292061,0,0,0,0,0.0,0.0,8,0
ONETEP__SHh1xr_l__DOCS__0,ONETEP__SHh1xr_l,ONETEP,hard,L2,DOCS,0,1,0,8,3,1,14,0.41679649999999996,2,3,0,0,0.0,0.0,6,0
ONETEP__SHh1xr_l__FULL__0,ONETEP__SHh1xr_l,ONETEP,hard,L2,FULL,0,1,0,11,1,7,19,0.4116115000000001,1,1,0,0,0.0,0.0,8,0
ONETEP__SHh1xr_l__NONE__0,ONETEP__SHh1xr_l,ONETEP,hard,L2,NONE,0,1,0,2,0,1,5,0.23502,0,0,0,0,0.0,0.0,6,0
ONETEP__obU5oKqj__BARE__0,ONETEP__obU5oKqj,ONETEP,easy,L2,BARE,0,1,1,6,1,1,12,0.5757935,2,0,6,5,0.8333333333333334,0.8333333333333334,4,0
ONETEP__obU5oKqj__COMPLEXITY__0,ONETEP__obU5oKqj,ONETEP,easy,L2,COMPLEXITY,0,1,1,3,0,1,9,0.5603095,2,0,6,6,1.0,1.0,4,1
ONETEP__obU5oKqj__DOCS__0,ONETEP__obU5oKqj,ONETEP,easy,L2,DOCS,0,1,1,7,2,2,13,0.41329225,2,1,6,5,0.8333333333333334,0.8333333333333334,4,0
ONETEP__obU5oKqj__FULL__0,ONETEP__obU5oKqj,ONETEP,easy,L2,FULL,0,1,1,9,3,3,20,0.36410825,1,2,6,6,1.0,1.0,3,1
ONETEP__obU5oKqj__NONE__0,ONETEP__obU5oKqj,ONETEP,easy,L2,NONE,0,1,1,5,0,3,12,0.41687250000000003,1,0,6,5,0.8333333333333334,0.8333333333333334,3,0
ORCA__wlvahU0y__BARE__0,ORCA__wlvahU0y,ORCA,easy,L2,BARE,0,1,1,7,1,5,13,0.23729324999999998,1,0,10,10,1.0,1.0,0,1
ORCA__wlvahU0y__COMPLEXITY__0,ORCA__wlvahU0y,ORCA,easy,L2,COMPLEXITY,0,1,1,8,1,6,16,0.28287975000000004,1,0,10,10,1.0,1.0,0,1
ORCA__wlvahU0y__DOCS__0,ORCA__wlvahU0y,ORCA,easy,L2,DOCS,0,1,1,6,1,4,13,0.25326925,1,0,10,10,1.0,1.0,0,1
ORCA__wlvahU0y__FULL__0,ORCA__wlvahU0y,ORCA,easy,L2,FULL,0,1,1,8,1,5,18,0.33439575,1,0,10,9,0.9,0.9,0,1
ORCA__wlvahU0y__NONE__0,ORCA__wlvahU0y,ORCA,easy,L2,NONE,0,1,1,5,0,4,13,0.2229155,0,0,10,10,1.0,1.0,0,1
ORCA__ytbyrwLI__BARE__0,ORCA__ytbyrwLI,ORCA,easy,L2,BARE,0,1,1,4,1,1,9,0.22259075,0,0,10,10,1.0,1.0,0,1
ORCA__ytbyrwLI__COMPLEXITY__0,ORCA__ytbyrwLI,ORCA,easy,L2,COMPLEXITY,0,1,1,6,1,2,11,0.29287825,0,0,10,9,0.9,0.9,0,1
ORCA__ytbyrwLI__DOCS__0,ORCA__ytbyrwLI,ORCA,easy,L2,DOCS,0,1,1,6,1,2,11,0.29282375,0,0,10,9,0.9,0.9,0,1
ORCA__ytbyrwLI__FULL__0,ORCA__ytbyrwLI,ORCA,easy,L2,FULL,0,1,1,4,1,1,10,0.262629,0,0,10,10,1.0,1.0,0,1
ORCA__ytbyrwLI__NONE__0,ORCA__ytbyrwLI,ORCA,easy,L2,NONE,0,1,1,3,0,2,8,0.35444,1,0,10,10,1.0,1.0,0,1
ORCA__zOnVuVC5__BARE__0,ORCA__zOnVuVC5,ORCA,easy,L2,BARE,0,1,1,4,1,1,9,0.23257899999999998,0,0,10,10,1.0,1.0,0,1
ORCA__zOnVuVC5__COMPLEXITY__0,ORCA__zOnVuVC5,ORCA,easy,L2,COMPLEXITY,0,1,1,8,1,4,17,0.31464099999999995,0,0,10,10,1.0,1.0,0,1
ORCA__zOnVuVC5__DOCS__0,ORCA__zOnVuVC5,ORCA,easy,L2,DOCS,0,1,1,7,1,2,14,0.312297,0,0,10,10,1.0,1.0,0,1
ORCA__zOnVuVC5__FULL__0,ORCA__zOnVuVC5,ORCA,easy,L2,FULL,0,1,1,5,1,2,12,0.40643499999999994,0,0,10,10,1.0,1.0,0,1
ORCA__zOnVuVC5__NONE__0,ORCA__zOnVuVC5,ORCA,easy,L2,NONE,0,1,1,3,0,2,8,0.33817325,1,0,10,10,1.0,1.0,0,1
Octopus__KOz5MBCB__BARE__0,Octopus__KOz5MBCB,Octopus,hard,L2,BARE,0,1,0,8,2,2,16,0.6611145,4,2,0,0,0.0,0.0,4,0
Octopus__KOz5MBCB__COMPLEXITY__0,Octopus__KOz5MBCB,Octopus,hard,L2,COMPLEXITY,0,1,0,5,0,4,12,0.5995635,2,0,0,0,0.0,0.0,2,0
Octopus__KOz5MBCB__DOCS__0,Octopus__KOz5MBCB,Octopus,hard,L2,DOCS,0,1,0,10,3,2,17,0.7216115,4,3,0,0,0.0,0.0,4,0
Octopus__KOz5MBCB__FULL__0,Octopus__KOz5MBCB,Octopus,hard,L2,FULL,0,1,0,16,3,10,29,0.5741134999999999,3,3,0,0,0.0,0.0,5,0
Octopus__KOz5MBCB__NONE__0,Octopus__KOz5MBCB,Octopus,hard,L2,NONE,0,1,0,6,0,3,14,0.50382525,3,0,0,0,0.0,0.0,5,0
VASP__GIgds3tn__BARE__0,VASP__GIgds3tn,VASP,easy,L0,BARE,0,1,1,6,2,3,11,0.3586525,1,1,6,6,1.0,1.0,1,1
VASP__GIgds3tn__COMPLEXITY__0,VASP__GIgds3tn,VASP,easy,L0,COMPLEXITY,0,1,1,5,1,2,10,0.30094449999999995,0,0,6,6,1.0,1.0,1,1
VASP__GIgds3tn__DOCS__0,VASP__GIgds3tn,VASP,easy,L0,DOCS,0,1,1,7,2,2,14,0.31124850000000004,1,1,6,6,1.0,1.0,1,1
VASP__GIgds3tn__FULL__0,VASP__GIgds3tn,VASP,easy,L0,FULL,0,1,1,7,2,2,16,0.34454350000000006,1,1,6,6,1.0,1.0,2,1
VASP__GIgds3tn__NONE__0,VASP__GIgds3tn,VASP,easy,L0,NONE,0,1,1,8,0,8,16,0.35534,0,0,6,6,1.0,1.0,2,1
VASP__QTNlDyNK__BARE__0,VASP__QTNlDyNK,VASP,easy,L0,BARE,0,1,1,7,2,3,13,0.2372545,1,1,6,6,1.0,1.0,1,1
VASP__QTNlDyNK__COMPLEXITY__0,VASP__QTNlDyNK,VASP,easy,L0,COMPLEXITY,0,1,1,6,1,5,12,0.34289074999999997,0,0,6,5,0.8333333333333334,0.8333333333333334,1,1
VASP__QTNlDyNK__DOCS__0,VASP__QTNlDyNK,VASP,easy,L0,DOCS,0,1,1,9,2,4,18,0.3180485,1,1,6,6,1.0,1.0,1,1
VASP__QTNlDyNK__FULL__0,VASP__QTNlDyNK,VASP,easy,L0,FULL,0,1,1,6,2,1,12,0.237246,1,1,6,6,1.0,1.0,1,1
VASP__QTNlDyNK__NONE__0,VASP__QTNlDyNK,VASP,easy,L0,NONE,0,1,1,5,0,5,10,0.256661,0,0,6,6,1.0,1.0,1,1
VASP___4eGoIDq__BARE__0,VASP___4eGoIDq,VASP,easy,L0,BARE,0,1,1,4,2,0,8,0.13622174999999997,1,1,6,6,1.0,1.0,0,1
VASP___4eGoIDq__COMPLEXITY__0,VASP___4eGoIDq,VASP,easy,L0,COMPLEXITY,0,1,1,6,1,3,14,0.29683724999999994,0,0,6,6,1.0,1.0,1,1
VASP___4eGoIDq__DOCS__0,VASP___4eGoIDq,VASP,easy,L0,DOCS,0,1,1,7,2,2,13,0.22661125,1,1,6,6,1.0,1.0,1,1
VASP___4eGoIDq__FULL__0,VASP___4eGoIDq,VASP,easy,L0,FULL,0,1,1,4,2,0,8,0.15725475,1,1,6,6,1.0,1.0,0,1
VASP___4eGoIDq__NONE__0,VASP___4eGoIDq,VASP,easy,L0,NONE,0,0,0,4,0,4,9,0.21078924999999998,0,0,6,0,0.0,0.0,0,0
VASP__yzVrn483__BARE__0,VASP__yzVrn483,VASP,easy,L0,BARE,0,1,1,10,2,7,22,0.34164174999999997,2,1,6,6,1.0,1.0,3,1
VASP__yzVrn483__COMPLEXITY__0,VASP__yzVrn483,VASP,easy,L0,COMPLEXITY,0,1,1,7,1,5,15,0.36852524999999997,1,0,6,6,1.0,1.0,1,1
